20:55:01.998425 Connecting to host 10.0.1.24, port 5201
20:55:01.998547 [  5] local 10.60.0.1 port 56145 connected to 10.0.1.24 port 5201
20:55:01.998560 [ ID] Interval           Transfer     Bitrate         Retr  Cwnd
20:55:01.998565 [  5]   0.00-0.10   sec   109 KBytes  8.91 Mbits/sec    0   57.9 KBytes       
20:55:02.098568 [  5]   0.10-0.20   sec   128 KBytes  10.5 Mbits/sec    0   64.8 KBytes       
20:55:02.198669 [  5]   0.20-0.30   sec  0.00 Bytes  0.00 bits/sec    0   64.8 KBytes       
20:55:02.298540 [  5]   0.30-0.40   sec   128 KBytes  10.5 Mbits/sec    0   67.6 KBytes       
20:55:02.398528 [  5]   0.40-0.50   sec  0.00 Bytes  0.00 bits/sec    0   70.3 KBytes       
20:55:02.499613 [  5]   0.50-0.60   sec   128 KBytes  10.4 Mbits/sec    0   70.3 KBytes       
20:55:02.598826 [  5]   0.60-0.70   sec  0.00 Bytes  0.00 bits/sec    0   77.2 KBytes       
20:55:02.698867 [  5]   0.70-0.80   sec  0.00 Bytes  0.00 bits/sec    0   77.2 KBytes       
20:55:02.798725 [  5]   0.80-0.90   sec   128 KBytes  10.5 Mbits/sec    0   84.1 KBytes       
20:55:02.898732 [  5]   0.90-1.00   sec  0.00 Bytes  0.00 bits/sec    0   84.1 KBytes       
20:55:02.998429 [  5]   1.00-1.10   sec   128 KBytes  10.5 Mbits/sec    0   89.6 KBytes       
20:55:03.098337 [  5]   1.10-1.20   sec  0.00 Bytes  0.00 bits/sec    0   89.6 KBytes       
20:55:03.198606 [  5]   1.20-1.30   sec   128 KBytes  10.5 Mbits/sec    0   96.5 KBytes       
20:55:03.298809 [  5]   1.30-1.40   sec  0.00 Bytes  0.00 bits/sec    0   96.5 KBytes       
20:55:03.398539 [  5]   1.40-1.50   sec   128 KBytes  10.5 Mbits/sec    0    103 KBytes       
20:55:03.498473 [  5]   1.50-1.60   sec  0.00 Bytes  0.00 bits/sec    0    103 KBytes       
20:55:03.598523 [  5]   1.60-1.70   sec   128 KBytes  10.5 Mbits/sec    0    109 KBytes       
20:55:03.698981 [  5]   1.70-1.80   sec  0.00 Bytes  0.00 bits/sec    0    109 KBytes       
20:55:03.798720 [  5]   1.80-1.90   sec   128 KBytes  10.5 Mbits/sec    0    116 KBytes       
20:55:03.898915 [  5]   1.90-2.00   sec  0.00 Bytes  0.00 bits/sec    0    116 KBytes       
20:55:03.998822 [  5]   2.00-2.10   sec   128 KBytes  10.5 Mbits/sec    0    121 KBytes       
20:55:04.099399 [  5]   2.10-2.20   sec  0.00 Bytes  0.00 bits/sec    0    121 KBytes       
20:55:04.205314 [  5]   2.20-2.31   sec   128 KBytes  9.92 Mbits/sec    0    123 KBytes       
20:55:04.298554 [  5]   2.31-2.40   sec  0.00 Bytes  0.00 bits/sec    0    128 KBytes       
20:55:04.398316 [  5]   2.40-2.50   sec   128 KBytes  10.5 Mbits/sec    0    135 KBytes       
20:55:04.498715 [  5]   2.50-2.60   sec  0.00 Bytes  0.00 bits/sec    0    135 KBytes       
20:55:04.598556 [  5]   2.60-2.70   sec   128 KBytes  10.5 Mbits/sec    0    135 KBytes       
20:55:04.698352 [  5]   2.70-2.80   sec  0.00 Bytes  0.00 bits/sec    0    135 KBytes       
20:55:04.799026 [  5]   2.80-2.90   sec  0.00 Bytes  0.00 bits/sec    0    135 KBytes       
20:55:04.898407 [  5]   2.90-3.00   sec   128 KBytes  10.5 Mbits/sec    0    135 KBytes       
20:55:04.998791 [  5]   3.00-3.10   sec  0.00 Bytes  0.00 bits/sec    0    135 KBytes       
20:55:05.098566 [  5]   3.10-3.20   sec   128 KBytes  10.5 Mbits/sec    0    135 KBytes       
20:55:05.198499 [  5]   3.20-3.30   sec  0.00 Bytes  0.00 bits/sec    0    135 KBytes       
20:55:05.299149 [  5]   3.30-3.40   sec   128 KBytes  10.4 Mbits/sec    0    135 KBytes       
20:55:05.398332 [  5]   3.40-3.50   sec  0.00 Bytes  0.00 bits/sec    0    135 KBytes       
20:55:05.498359 [  5]   3.50-3.60   sec   128 KBytes  10.5 Mbits/sec    0    135 KBytes       
20:55:05.599045 [  5]   3.60-3.70   sec  0.00 Bytes  0.00 bits/sec    0    135 KBytes       
20:55:05.698736 [  5]   3.70-3.80   sec   128 KBytes  10.5 Mbits/sec    0    135 KBytes       
20:55:05.799031 [  5]   3.80-3.90   sec  0.00 Bytes  0.00 bits/sec    0    135 KBytes       
20:55:05.898444 [  5]   3.90-4.00   sec   128 KBytes  10.6 Mbits/sec    0    135 KBytes       
20:55:05.998351 [  5]   4.00-4.10   sec  0.00 Bytes  0.00 bits/sec    0    135 KBytes       
20:55:06.098985 [  5]   4.10-4.20   sec   128 KBytes  10.4 Mbits/sec    0    135 KBytes       
20:55:06.198937 [  5]   4.20-4.30   sec  0.00 Bytes  0.00 bits/sec    0    135 KBytes       
20:55:06.298483 [  5]   4.30-4.40   sec   128 KBytes  10.5 Mbits/sec    0    131 KBytes       
20:55:06.398414 [  5]   4.40-4.50   sec  0.00 Bytes  0.00 bits/sec    0    131 KBytes       
20:55:06.499865 [  5]   4.50-4.60   sec   128 KBytes  10.3 Mbits/sec    0    131 KBytes       
20:55:06.600635 [  5]   4.60-4.70   sec  0.00 Bytes  0.00 bits/sec    0    131 KBytes       
20:55:06.702502 [  5]   4.70-4.80   sec   128 KBytes  10.3 Mbits/sec    0    131 KBytes       
20:55:06.799874 [  5]   4.80-4.90   sec  0.00 Bytes  0.00 bits/sec    0    131 KBytes       
20:55:06.899520 [  5]   4.90-5.00   sec  0.00 Bytes  0.00 bits/sec    0    131 KBytes       
20:55:06.998987 [  5]   5.00-5.10   sec   128 KBytes  10.5 Mbits/sec    0    131 KBytes       
20:55:07.099423 [  5]   5.10-5.20   sec  0.00 Bytes  0.00 bits/sec    0    131 KBytes       
20:55:07.198364 [  5]   5.20-5.30   sec   128 KBytes  10.6 Mbits/sec    0    131 KBytes       
20:55:07.298378 [  5]   5.30-5.40   sec  0.00 Bytes  0.00 bits/sec    0    131 KBytes       
20:55:07.398585 [  5]   5.40-5.50   sec   128 KBytes  10.5 Mbits/sec    0    131 KBytes       
20:55:07.499183 [  5]   5.50-5.60   sec  0.00 Bytes  0.00 bits/sec    0    131 KBytes       
20:55:07.598564 [  5]   5.60-5.70   sec   128 KBytes  10.6 Mbits/sec    0    131 KBytes       
