15:53:42.791613 ------------------------------------------------------------
15:53:42.791775 Client connecting to 10.0.1.24, UDP port 5001 with pid 130512
15:53:42.791860 Binding to local address 10.60.0.1
15:53:42.791890 Sending 200 byte datagrams, IPG target: 305.18 us (kalman adjust)
15:53:42.791921 UDP buffer size:  208 KByte (default)
15:53:42.791971 ------------------------------------------------------------
15:53:42.792002 [  3] local 10.60.0.1 port 49678 connected with 10.0.1.24 port 5001
15:53:42.792032 [ ID] Interval            Transfer     Bandwidth      Write/Err  PPS
15:53:42.792062 [  3] 0.0000-0.0050 sec  3.52 KBytes  5.76 Mbits/sec  18/0     3446 pps
15:53:42.792089 [  3] 0.0050-0.0100 sec  3.12 KBytes  5.12 Mbits/sec  16/0     3290 pps
15:53:42.795955 [  3] 0.0100-0.0150 sec  3.32 KBytes  5.44 Mbits/sec  17/0     3263 pps
15:53:42.796029 [  3] 0.0150-0.0200 sec  3.12 KBytes  5.12 Mbits/sec  16/0     3194 pps
15:53:42.796060 [  3] 0.0200-0.0250 sec  3.12 KBytes  5.12 Mbits/sec  16/0     3363 pps
15:53:42.796123 [  3] 0.0250-0.0300 sec  3.12 KBytes  5.12 Mbits/sec  16/0     2943 pps
15:53:42.817597 [  3] 0.0300-0.0350 sec  3.12 KBytes  5.12 Mbits/sec  16/0     3318 pps
15:53:42.817728 [  3] 0.0350-0.0400 sec  3.12 KBytes  5.12 Mbits/sec  16/0     3294 pps
15:53:42.817768 [  3] 0.0400-0.0450 sec  3.12 KBytes  5.12 Mbits/sec  16/0     3275 pps
15:53:42.817879 [  3] 0.0450-0.0500 sec  3.52 KBytes  5.76 Mbits/sec  18/0     3320 pps
15:53:42.839435 [  3] 0.0500-0.0550 sec  3.32 KBytes  5.44 Mbits/sec  17/0     3368 pps
15:53:42.839567 [  3] 0.0550-0.0600 sec  3.12 KBytes  5.12 Mbits/sec  16/0     3284 pps
15:53:42.839610 [  3] 0.0600-0.0650 sec  2.93 KBytes  4.80 Mbits/sec  15/0     2551 pps
15:53:42.839639 [  3] 0.0650-0.0700 sec  3.32 KBytes  5.44 Mbits/sec  17/0     4425 pps
15:53:42.839665 [  3] 0.0700-0.0750 sec  2.93 KBytes  4.80 Mbits/sec  15/0     3071 pps
15:53:42.860193 [  3] 0.0750-0.0800 sec  3.52 KBytes  5.76 Mbits/sec  18/0     3586 pps
15:53:42.860338 [  3] 0.0800-0.0850 sec  3.32 KBytes  5.44 Mbits/sec  17/0     2997 pps
15:53:42.860565 [  3] 0.0850-0.0900 sec  3.12 KBytes  5.12 Mbits/sec  16/0     3244 pps
15:53:42.860613 [  3] 0.0900-0.0950 sec  3.32 KBytes  5.44 Mbits/sec  17/0     3700 pps
15:53:42.880563 [  3] 0.0950-0.1000 sec  2.93 KBytes  4.80 Mbits/sec  15/0     2875 pps
15:53:42.880815 [  3] 0.1000-0.1050 sec  3.32 KBytes  5.44 Mbits/sec  17/0     3600 pps
15:53:42.880924 [  3] 0.1050-0.1100 sec  3.12 KBytes  5.12 Mbits/sec  16/0     3251 pps
15:53:42.880997 [  3] 0.1100-0.1150 sec  3.52 KBytes  5.76 Mbits/sec  18/0     3102 pps
15:53:42.900906 [  3] 0.1150-0.1200 sec  3.12 KBytes  5.12 Mbits/sec  16/0     3756 pps
15:53:42.901044 [  3] 0.1200-0.1250 sec  2.73 KBytes  4.48 Mbits/sec  14/0     2350 pps
15:53:42.901307 [  3] 0.1250-0.1300 sec  3.52 KBytes  5.76 Mbits/sec  18/0     4115 pps
15:53:42.901514 [  3] 0.1300-0.1350 sec  3.12 KBytes  5.12 Mbits/sec  16/0     3271 pps
15:53:42.921824 [  3] 0.1350-0.1400 sec  3.12 KBytes  5.12 Mbits/sec  16/0     3467 pps
15:53:42.921965 [  3] 0.1400-0.1450 sec  3.12 KBytes  5.12 Mbits/sec  16/0     3131 pps
15:53:42.921997 [  3] 0.1450-0.1500 sec  3.12 KBytes  5.12 Mbits/sec  16/0     2926 pps
15:53:42.922069 [  3] 0.1500-0.1550 sec  3.52 KBytes  5.76 Mbits/sec  18/0     4062 pps
15:53:42.944303 [  3] 0.1550-0.1600 sec  3.32 KBytes  5.44 Mbits/sec  17/0     3222 pps
15:53:42.944549 [  3] 0.1600-0.1650 sec  2.73 KBytes  4.48 Mbits/sec  14/0     2847 pps
15:53:42.944643 [  3] 0.1650-0.1700 sec  3.12 KBytes  5.12 Mbits/sec  16/0     3309 pps
15:53:42.944946 [  3] 0.1700-0.1750 sec  3.71 KBytes  6.08 Mbits/sec  19/0     3727 pps
15:53:42.962764 [  3] 0.1750-0.1800 sec  3.12 KBytes  5.12 Mbits/sec  16/0     3247 pps
15:53:42.962887 [  3] 0.1800-0.1850 sec  3.32 KBytes  5.44 Mbits/sec  17/0     2592 pps
15:53:42.962941 [  3] 0.1850-0.1900 sec  2.93 KBytes  4.80 Mbits/sec  15/0     3877 pps
15:53:42.962971 [  3] 0.1900-0.1950 sec  3.32 KBytes  5.44 Mbits/sec  17/0     3477 pps
15:53:42.984099 [  3] 0.1950-0.2000 sec  3.32 KBytes  5.44 Mbits/sec  17/0     3509 pps
15:53:42.984261 [  3] 0.2000-0.2050 sec  2.73 KBytes  4.48 Mbits/sec  14/0     2866 pps
