16:31:22.568712 ------------------------------------------------------------
16:31:22.568911 Client connecting to 10.0.1.24, TCP port 5001 with pid 141051
16:31:22.568953 Binding to local address 10.60.0.1
16:31:22.568984 Write buffer size:  200 Byte
16:31:22.569010 TCP window size: 85.0 KByte (default)
16:31:22.569036 ------------------------------------------------------------
16:31:22.569064 [  3] local 10.60.0.1 port 49115 connected with 10.0.1.24 port 5001 (ct=16.34 ms)
16:31:22.569113 [ ID] Interval            Transfer    Bandwidth       Write/Err  Rtry     Cwnd/RTT        NetPwr
16:31:22.569143 [  3] 0.0000-0.0050 sec  3.52 KBytes  5.76 Mbits/sec  18/0          0       13K/16260 us  44.29
16:31:22.569174 [  3] 0.0050-0.0100 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       13K/16260 us  39.37
16:31:22.589005 [  3] 0.0100-0.0150 sec  3.32 KBytes  5.44 Mbits/sec  17/0          0       24K/14997 us  45.35
16:31:22.589168 [  3] 0.0150-0.0200 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       24K/14997 us  42.68
16:31:22.589208 [  3] 0.0200-0.0250 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       24K/14997 us  42.68
16:31:22.589295 [  3] 0.0250-0.0300 sec  3.32 KBytes  5.44 Mbits/sec  17/0          0       24K/14997 us  45.35
16:31:22.609326 [  3] 0.0300-0.0350 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       24K/14856 us  43.09
16:31:22.609548 [  3] 0.0350-0.0400 sec  3.32 KBytes  5.44 Mbits/sec  17/0          0       24K/14856 us  45.78
16:31:22.609595 [  3] 0.0400-0.0450 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       24K/14856 us  43.09
16:31:22.609621 [  3] 0.0450-0.0500 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       24K/14856 us  43.09
16:31:22.630236 [  3] 0.0500-0.0550 sec  3.32 KBytes  5.44 Mbits/sec  17/0          0       24K/14856 us  45.78
16:31:22.630409 [  3] 0.0550-0.0600 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       24K/15196 us  42.12
16:31:22.630441 [  3] 0.0600-0.0650 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       24K/15196 us  42.12
16:31:22.630470 [  3] 0.0650-0.0700 sec  3.32 KBytes  5.44 Mbits/sec  17/0          0       24K/15196 us  44.76
16:31:22.650683 [  3] 0.0700-0.0750 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       24K/15196 us  42.12
16:31:22.650800 [  3] 0.0750-0.0800 sec  3.32 KBytes  5.44 Mbits/sec  17/0          0       27K/15994 us  42.52
16:31:22.650854 [  3] 0.0800-0.0850 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       27K/15994 us  40.02
16:31:22.650897 [  3] 0.0850-0.0900 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       27K/15994 us  40.02
16:31:22.671228 [  3] 0.0900-0.0950 sec  3.32 KBytes  5.44 Mbits/sec  17/0          0       27K/15994 us  42.52
16:31:22.671281 [  3] 0.0950-0.1000 sec  1.76 KBytes  2.88 Mbits/sec  9/0          0       30K/18194 us  19.79
16:31:22.671305 [  3] 0.1000-0.1050 sec  0.00 Bytes  0.00 bits/sec  0/0          0       30K/18194 us  0.00
16:31:22.671313 [  3] 0.1050-0.1100 sec  7.81 KBytes  12.8 Mbits/sec  40/0          0       30K/18194 us  87.96
16:31:22.692512 [  3] 0.1100-0.1150 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       30K/18194 us  35.18
16:31:22.692575 [  3] 0.1150-0.1200 sec  3.32 KBytes  5.44 Mbits/sec  17/0          0       35K/18845 us  36.09
16:31:22.692588 [  3] 0.1200-0.1250 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       35K/18845 us  33.97
16:31:22.692595 [  3] 0.1250-0.1300 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       35K/18845 us  33.97
16:31:22.713329 [  3] 0.1300-0.1350 sec  3.32 KBytes  5.44 Mbits/sec  17/0          0       35K/18845 us  36.09
16:31:22.713394 [  3] 0.1350-0.1400 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       35K/16550 us  38.68
16:31:22.713423 [  3] 0.1400-0.1450 sec  3.32 KBytes  5.44 Mbits/sec  17/0          0       35K/16550 us  41.10
16:31:22.713432 [  3] 0.1450-0.1500 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       35K/16550 us  38.68
16:31:22.735401 [  3] 0.1500-0.1550 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       35K/16550 us  38.68
16:31:22.735472 [  3] 0.1550-0.1600 sec  3.32 KBytes  5.44 Mbits/sec  17/0          0       35K/15952 us  42.64
16:31:22.735496 [  3] 0.1600-0.1650 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       35K/15952 us  40.13
16:31:22.735504 [  3] 0.1650-0.1700 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       35K/15952 us  40.13
16:31:22.754850 [  3] 0.1700-0.1750 sec  1.95 KBytes  3.20 Mbits/sec  10/0          0       35K/15952 us  25.08
16:31:22.754931 [  3] 0.1750-0.1800 sec  4.49 KBytes  7.36 Mbits/sec  23/0          0       35K/17282 us  53.25
16:31:22.754941 [  3] 0.1800-0.1850 sec  3.32 KBytes  5.44 Mbits/sec  17/0          0       35K/17282 us  39.36
16:31:22.754949 [  3] 0.1850-0.1900 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       35K/17282 us  37.04
16:31:22.754958 [  3] 0.1900-0.1950 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       35K/17282 us  37.04
16:31:22.776344 [  3] 0.1950-0.2000 sec  3.32 KBytes  5.44 Mbits/sec  17/0          0       35K/17282 us  39.36
16:31:22.776404 [  3] 0.2000-0.2050 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       35K/17387 us  36.82
16:31:22.776415 [  3] 0.2050-0.2100 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       35K/17387 us  36.82
16:31:22.776424 [  3] 0.2100-0.2150 sec  3.32 KBytes  5.44 Mbits/sec  17/0          0       35K/17387 us  39.12
16:31:22.797116 [  3] 0.2150-0.2200 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       35K/17387 us  36.82
16:31:22.797161 [  3] 0.2200-0.2250 sec  3.32 KBytes  5.44 Mbits/sec  17/0          0       35K/17355 us  39.19
16:31:22.797170 [  3] 0.2250-0.2300 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       35K/17355 us  36.88
16:31:22.797178 [  3] 0.2300-0.2350 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       35K/17355 us  36.88
16:31:22.818075 [  3] 0.2350-0.2400 sec  3.32 KBytes  5.44 Mbits/sec  17/0          0       35K/17355 us  39.19
16:31:22.818124 [  3] 0.2400-0.2450 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       35K/17418 us  36.75
16:31:22.818134 [  3] 0.2450-0.2500 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       35K/17418 us  36.75
16:31:22.818143 [  3] 0.2500-0.2549 sec  3.32 KBytes  5.44 Mbits/sec  17/0          0       35K/17418 us  39.05
16:31:22.838847 [  3] 0.2549-0.2599 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       35K/17418 us  36.75
16:31:22.838908 [  3] 0.2599-0.2649 sec  3.32 KBytes  5.44 Mbits/sec  17/0          0       35K/17025 us  39.95
16:31:22.838920 [  3] 0.2649-0.2699 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       35K/17025 us  37.60
16:31:22.838928 [  3] 0.2699-0.2749 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       35K/17025 us  37.60
