16:35:16.681468 ------------------------------------------------------------
16:35:16.681574 Client connecting to 10.0.1.24, TCP port 5001 with pid 142514
16:35:16.681587 Binding to local address 10.60.0.1
16:35:16.681596 Write buffer size:  200 Byte
16:35:16.681604 TCP window size: 85.0 KByte (default)
16:35:16.681611 ------------------------------------------------------------
16:35:16.681619 [  3] local 10.60.0.1 port 45481 connected with 10.0.1.24 port 5001 (ct=2127.68 ms)
16:35:16.681627 [ ID] Interval            Transfer    Bandwidth       Write/Err  Rtry     Cwnd/RTT        NetPwr
16:35:16.681635 [  3] 0.0000-0.0050 sec  1.17 KBytes  1.92 Mbits/sec  6/0          1       13K/2127000 us  0.11
16:35:16.681643 [  3] 0.0050-0.0100 sec  0.00 Bytes  0.00 bits/sec  0/0          1       13K/2127000 us  0.00
16:35:16.703634 [  3] 0.0100-0.0150 sec  8.59 KBytes  14.1 Mbits/sec  44/0          0       13K/2127000 us  0.83
16:35:16.703709 [  3] 0.0150-0.0200 sec  3.32 KBytes  5.44 Mbits/sec  17/0          0       24K/741300 us  0.92
16:35:16.703720 [  3] 0.0200-0.0250 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       24K/741300 us  0.86
16:35:16.703730 [  3] 0.0250-0.0300 sec  3.32 KBytes  5.44 Mbits/sec  17/0          0       24K/741300 us  0.92
16:35:16.723374 [  3] 0.0300-0.0350 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       24K/741300 us  0.86
16:35:16.723450 [  3] 0.0350-0.0400 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       30K/264676 us  2.42
16:35:16.723464 [  3] 0.0400-0.0450 sec  3.32 KBytes  5.44 Mbits/sec  17/0          0       30K/264676 us  2.57
16:35:16.723474 [  3] 0.0450-0.0500 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       30K/264676 us  2.42
16:35:16.743587 [  3] 0.0500-0.0550 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       30K/264676 us  2.42
16:35:16.743652 [  3] 0.0550-0.0600 sec  3.32 KBytes  5.44 Mbits/sec  17/0          0       30K/128449 us  5.29
16:35:16.743662 [  3] 0.0600-0.0650 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       30K/128449 us  4.98
16:35:16.743670 [  3] 0.0650-0.0700 sec  3.32 KBytes  5.44 Mbits/sec  17/0          0       30K/128449 us  5.29
16:35:16.763919 [  3] 0.0700-0.0750 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       30K/128449 us  4.98
16:35:16.764000 [  3] 0.0750-0.0800 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       30K/74360 us  8.61
16:35:16.764014 [  3] 0.0800-0.0850 sec  3.32 KBytes  5.44 Mbits/sec  17/0          0       30K/74360 us  9.15
16:35:16.764023 [  3] 0.0850-0.0900 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       30K/74360 us  8.61
16:35:16.784536 [  3] 0.0900-0.0950 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       30K/74360 us  8.61
16:35:16.784618 [  3] 0.0950-0.1000 sec  3.32 KBytes  5.44 Mbits/sec  17/0          0       30K/42842 us  15.88
16:35:16.784629 [  3] 0.1000-0.1050 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       30K/42842 us  14.94
16:35:16.784638 [  3] 0.1050-0.1100 sec  3.32 KBytes  5.44 Mbits/sec  17/0          0       30K/42842 us  15.88
16:35:16.805355 [  3] 0.1100-0.1150 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       30K/42842 us  14.94
16:35:16.805500 [  3] 0.1150-0.1200 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       30K/30123 us  21.25
16:35:16.805516 [  3] 0.1200-0.1250 sec  3.32 KBytes  5.44 Mbits/sec  17/0          0       30K/30123 us  22.58
16:35:16.805526 [  3] 0.1250-0.1300 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       30K/30123 us  21.25
16:35:16.825760 [  3] 0.1300-0.1350 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       30K/30123 us  21.25
16:35:16.825857 [  3] 0.1350-0.1400 sec  3.32 KBytes  5.44 Mbits/sec  17/0          0       30K/23436 us  29.02
16:35:16.825869 [  3] 0.1400-0.1450 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       30K/23436 us  27.31
16:35:16.825877 [  3] 0.1450-0.1500 sec  3.32 KBytes  5.44 Mbits/sec  17/0          0       30K/23436 us  29.02
16:35:16.846680 [  3] 0.1500-0.1550 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       30K/23436 us  27.31
16:35:16.846765 [  3] 0.1550-0.1600 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       30K/20586 us  31.10
16:35:16.846787 [  3] 0.1600-0.1650 sec  3.32 KBytes  5.44 Mbits/sec  17/0          0       30K/20586 us  33.04
