16:41:18.135719 ------------------------------------------------------------
16:41:18.135814 Client connecting to 10.0.1.24, UDP port 5001 with pid 143935
16:41:18.135825 Binding to local address 10.60.0.1
16:41:18.135834 Sending 200 byte datagrams, IPG target: 305.18 us (kalman adjust)
16:41:18.135952 UDP buffer size:  208 KByte (default)
16:41:18.135964 ------------------------------------------------------------
16:41:18.135973 [  3] local 10.60.0.1 port 34998 connected with 10.0.1.24 port 5001
16:41:18.135981 [ ID] Interval            Transfer     Bandwidth      Write/Err  PPS
16:41:18.135989 [  3] 0.0000-0.0050 sec  3.32 KBytes  5.44 Mbits/sec  17/0     3098 pps
16:41:18.148620 [  3] 0.0050-0.0100 sec  3.32 KBytes  5.44 Mbits/sec  17/0     3484 pps
16:41:18.148909 [  3] 0.0100-0.0150 sec  3.32 KBytes  5.44 Mbits/sec  17/0     3353 pps
16:41:18.148935 [  3] 0.0150-0.0200 sec  2.73 KBytes  4.48 Mbits/sec  14/0     2443 pps
16:41:18.148948 [  3] 0.0200-0.0250 sec  3.12 KBytes  5.12 Mbits/sec  16/0     4150 pps
16:41:18.148959 [  3] 0.0250-0.0300 sec  1.37 KBytes  2.24 Mbits/sec  7/0     1174 pps
16:41:18.170051 [  3] 0.0300-0.0350 sec  3.12 KBytes  5.12 Mbits/sec  16/0     3400 pps
16:41:18.170147 [  3] 0.0350-0.0400 sec  3.12 KBytes  5.12 Mbits/sec  16/0     3697 pps
16:41:18.170161 [  3] 0.0400-0.0450 sec  3.32 KBytes  5.44 Mbits/sec  17/0     2673 pps
16:41:18.170171 [  3] 0.0450-0.0500 sec  2.93 KBytes  4.80 Mbits/sec  15/0     3865 pps
16:41:18.190760 [  3] 0.0500-0.0550 sec  3.32 KBytes  5.44 Mbits/sec  17/0     3502 pps
16:41:18.191298 [  3] 0.0550-0.0600 sec  3.32 KBytes  5.44 Mbits/sec  17/0     2829 pps
16:41:18.191340 [  3] 0.0600-0.0650 sec  2.54 KBytes  4.16 Mbits/sec  13/0     2068 pps
16:41:18.191356 [  3] 0.0650-0.0700 sec  1.76 KBytes  2.88 Mbits/sec  9/0     2706 pps
16:41:18.213968 [  3] 0.0700-0.0750 sec   800 Bytes  1.28 Mbits/sec  4/0      782 pps
16:41:18.214075 [  3] 0.0750-0.0800 sec  2.73 KBytes  4.48 Mbits/sec  14/0     3064 pps
16:41:18.214090 [  3] 0.0800-0.0850 sec  2.93 KBytes  4.80 Mbits/sec  15/0     2857 pps
16:41:18.214099 [  3] 0.0850-0.0900 sec  3.12 KBytes  5.12 Mbits/sec  16/0     3556 pps
16:41:18.233585 [  3] 0.0900-0.0950 sec   600 Bytes   960 Kbits/sec  3/0      482 pps
16:41:18.233691 [  3] 0.0950-0.1000 sec  2.34 KBytes  3.84 Mbits/sec  12/0     2148 pps
16:41:18.233719 [  3] 0.1000-0.1050 sec  3.32 KBytes  5.44 Mbits/sec  17/0     4513 pps
16:41:18.233738 [  3] 0.1050-0.1100 sec  2.54 KBytes  4.16 Mbits/sec  13/0     2963 pps
16:41:18.233756 [  3] 0.1100-0.1150 sec  3.71 KBytes  6.08 Mbits/sec  19/0     3251 pps
16:41:18.254509 [  3] 0.1150-0.1200 sec  3.12 KBytes  5.12 Mbits/sec  16/0     3666 pps
16:41:18.254601 [  3] 0.1200-0.1250 sec  3.32 KBytes  5.44 Mbits/sec  17/0     3489 pps
16:41:18.254614 [  3] 0.1250-0.1300 sec  2.73 KBytes  4.48 Mbits/sec  14/0     2881 pps
16:41:18.254622 [  3] 0.1300-0.1350 sec  3.71 KBytes  6.08 Mbits/sec  19/0     3818 pps
16:41:18.274999 [  3] 0.1350-0.1400 sec  3.32 KBytes  5.44 Mbits/sec  17/0     2963 pps
16:41:18.275131 [  3] 0.1400-0.1450 sec  2.93 KBytes  4.80 Mbits/sec  15/0     1180 pps
16:41:18.275144 [  3] 0.1450-0.1500 sec  0.00 Bytes  0.00 bits/sec  0/0        0 pps
16:41:18.275152 [  3] 0.1500-0.1550 sec  1000 Bytes  1.60 Mbits/sec  5/0     2653 pps
16:41:18.296769 [  3] 0.1550-0.1600 sec  2.93 KBytes  4.80 Mbits/sec  15/0     3079 pps
16:41:18.296932 [  3] 0.1600-0.1650 sec  3.32 KBytes  5.44 Mbits/sec  17/0     3492 pps
16:41:18.296950 [  3] 0.1650-0.1700 sec  2.93 KBytes  4.80 Mbits/sec  15/0     3071 pps
16:41:18.296961 [  3] 0.1700-0.1750 sec  3.52 KBytes  5.76 Mbits/sec  18/0     3044 pps
16:41:18.316796 [  3] 0.1750-0.1800 sec  3.32 KBytes  5.44 Mbits/sec  17/0     3552 pps
16:41:18.318175 [  3] 0.1800-0.1850 sec  3.32 KBytes  5.44 Mbits/sec  17/0     3744 pps
16:41:18.318310 [  3] 0.1850-0.1900 sec  3.12 KBytes  5.12 Mbits/sec  16/0     3308 pps
16:41:18.318345 [  3] 0.1900-0.1950 sec  3.12 KBytes  5.12 Mbits/sec  16/0     3215 pps
16:41:18.338254 [  3] 0.1950-0.2000 sec  3.12 KBytes  5.12 Mbits/sec  16/0     3123 pps
16:41:18.338396 [  3] 0.2000-0.2050 sec  3.32 KBytes  5.44 Mbits/sec  17/0     3497 pps
16:41:18.338409 [  3] 0.2050-0.2100 sec  2.93 KBytes  4.80 Mbits/sec  15/0     3040 pps
16:41:18.338418 [  3] 0.2100-0.2150 sec  3.52 KBytes  5.76 Mbits/sec  18/0     3117 pps
16:41:18.338426 [  3] 0.2150-0.2200 sec  3.12 KBytes  5.12 Mbits/sec  16/0     3290 pps
16:41:18.359285 [  3] 0.2200-0.2250 sec  3.12 KBytes  5.12 Mbits/sec  16/0     3296 pps
16:41:18.360009 [  3] 0.2250-0.2300 sec  3.12 KBytes  5.12 Mbits/sec  16/0     3283 pps
