------------------------------------------------------------
Server listening on UDP port 5001 with pid 130192
Binding to local address 10.0.1.24
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.0.1.24 port 5001 connected with 10.60.0.1 port 49678
[ ID] Interval            Transfer     Bandwidth        Jitter   Lost/Total  Latency avg/min/max/stdev PPS  NetPwr
[  3] 0.0000-0.0050 sec   800 Bytes  1.28 Mbits/sec   0.943 ms    0/    4 (0%) 10.570/ 6.755/21.436/ 8.358 ms  270 pps  15.14
[  3] 0.0050-0.0100 sec  0.00 Bytes  0.00 bits/sec   0.000 ms    0/    0 (0%) -/-/-/- ms    0 pps
[  3] 0.0100-0.0150 sec  8.59 KBytes  14.1 Mbits/sec   0.339 ms    0/   44 (0%) 15.192/ 8.228/21.436/ 3.871 ms 236559 pps  115.87
[  3] 0.0150-0.0200 sec  3.52 KBytes  5.76 Mbits/sec   0.345 ms    0/   18 (0%)  7.939/ 6.790/ 8.350/ 0.405 ms 3452 pps  90.71
[  3] 0.0200-0.0250 sec  3.32 KBytes  5.44 Mbits/sec   0.354 ms    0/   17 (0%)  7.801/ 6.558/ 8.103/ 0.481 ms 3188 pps  87.19
[  3] 0.0250-0.0300 sec  3.52 KBytes  5.76 Mbits/sec   0.347 ms    0/   18 (0%)  7.917/ 6.933/ 8.103/ 0.376 ms 3097 pps  90.96
[  3] 0.0300-0.0350 sec  2.54 KBytes  4.16 Mbits/sec   0.332 ms    0/   13 (0%)  8.070/ 6.838/ 7.935/ 0.457 ms 3315 pps  64.45
[  3] 0.0350-0.0400 sec  3.71 KBytes  6.08 Mbits/sec   0.282 ms    0/   19 (0%)  8.054/ 6.934/ 7.986/ 0.411 ms 3248 pps  94.39
[  3] 0.0400-0.0450 sec  3.71 KBytes  6.08 Mbits/sec   0.288 ms    0/   19 (0%)  7.611/ 6.492/ 7.882/ 0.458 ms 3475 pps  99.88
[  3] 0.0450-0.0500 sec  2.34 KBytes  3.84 Mbits/sec   0.314 ms    0/   12 (0%)  8.132/ 6.721/ 8.409/ 0.575 ms 3352 pps  59.03
[  3] 0.0500-0.0550 sec  3.32 KBytes  5.44 Mbits/sec   0.328 ms    0/   17 (0%)  7.637/ 6.641/ 8.003/ 0.520 ms 3123 pps  89.05
[  3] 0.0550-0.0600 sec  3.52 KBytes  5.76 Mbits/sec   0.325 ms    0/   18 (0%)  8.062/ 6.850/ 8.539/ 0.529 ms 3128 pps  89.33
[  3] 0.0600-0.0650 sec  2.54 KBytes  4.16 Mbits/sec   0.328 ms    0/   13 (0%)  8.144/ 6.873/ 7.956/ 0.454 ms 2699 pps  63.87
[  3] 0.0650-0.0700 sec  3.71 KBytes  6.08 Mbits/sec   0.274 ms    0/   19 (0%)  8.057/ 6.819/ 8.268/ 0.385 ms 3843 pps  94.34
[  3] 0.0700-0.0750 sec  2.93 KBytes  4.80 Mbits/sec   0.328 ms    0/   15 (0%)  8.069/ 6.181/ 8.126/ 0.665 ms 3822 pps  74.37
[  3] 0.0750-0.0800 sec  3.12 KBytes  5.12 Mbits/sec   0.356 ms    0/   16 (0%)  7.879/ 6.832/ 8.490/ 0.459 ms 2885 pps  81.25
[  3] 0.0800-0.0850 sec  3.32 KBytes  5.44 Mbits/sec   0.301 ms    0/   17 (0%)  7.778/ 6.489/ 8.490/ 0.588 ms 3673 pps  87.44
[  3] 0.0850-0.0900 sec  3.12 KBytes  5.12 Mbits/sec   0.360 ms    0/   16 (0%)  7.469/ 6.331/ 7.768/ 0.445 ms 3045 pps  85.70
[  3] 0.0900-0.0950 sec  3.32 KBytes  5.44 Mbits/sec   0.251 ms    0/   17 (0%)  7.503/ 6.327/ 7.852/ 0.396 ms 3633 pps  90.65
[  3] 0.0950-0.1000 sec  2.93 KBytes  4.80 Mbits/sec   0.307 ms    0/   15 (0%)  7.738/ 6.819/ 7.988/ 0.373 ms 2890 pps  77.56
[  3] 0.1000-0.1050 sec  3.71 KBytes  6.08 Mbits/sec   0.284 ms    0/   19 (0%)  7.906/ 6.909/ 8.053/ 0.328 ms 3293 pps  96.15
[  3] 0.1050-0.1100 sec  2.15 KBytes  3.52 Mbits/sec   0.342 ms    0/   11 (0%)  8.424/ 6.930/ 8.952/ 0.547 ms 2803 pps  52.24
[  3] 0.1100-0.1150 sec  4.69 KBytes  7.68 Mbits/sec   0.309 ms    0/   24 (0%)  8.052/ 6.871/ 8.952/ 0.652 ms 4143 pps  119.24
[  3] 0.1150-0.1200 sec  3.12 KBytes  5.12 Mbits/sec   0.327 ms    0/   16 (0%)  8.125/ 6.893/ 8.460/ 0.550 ms 2735 pps  78.78
[  3] 0.1200-0.1250 sec  2.15 KBytes  3.52 Mbits/sec   0.278 ms    0/   11 (0%)  8.183/ 6.781/ 7.906/ 0.414 ms 2844 pps  53.78
[  3] 0.1250-0.1300 sec  3.52 KBytes  5.76 Mbits/sec   0.229 ms    0/   18 (0%)  7.876/ 6.804/ 7.929/ 0.379 ms 3838 pps  91.43
[  3] 0.1300-0.1350 sec  3.12 KBytes  5.12 Mbits/sec   0.289 ms    0/   16 (0%)  8.033/ 6.938/ 8.187/ 0.441 ms 3067 pps  79.68
[  3] 0.1350-0.1400 sec  3.52 KBytes  5.76 Mbits/sec   0.368 ms    0/   18 (0%)  7.812/ 6.449/ 8.225/ 0.511 ms 3823 pps  92.18
